,tms_id,snow_depth,bulk_density,bulk_density_bottom,bulk_density_top,density_profile_slope,tomst_id,transect,plot,lat,lon,soil_moisture,soil_moisture_date,T_snow,T_surface,T_soil,T_air_1
0,94231022,0.8081350900983904,0.30692491163093116,0.2955733187074781,0.3101126956961554,-0.791980644098175,6,3,1,69.278881,-53.47937498,0.27000448,20.09.2023,-4.826075,-3.980690625,-3.9303385416666665,-7.0916041666666665
1,94231023,0.5890771061073368,0.2967958286215831,0.3147076408022733,0.2894835598222001,0.56986979810129,7,3,2,69.27871697,-53.47773699,0.24599944,11.09.2023,-3.840655208333333,-2.9931468749999994,-2.9453125,-7.0916041666666665
2,94231024,0.7408546521467311,0.28599813896686704,0.3116500143250969,0.27808557069255563,0.7964841803515449,8,3,2,69.278723,-53.47754798,0.4931433456,20.09.2023,-4.276104166666667,-3.452634375,-3.3125,-7.0916041666666665
3,94231026,0.9623230993271805,0.34282318495385694,0.34433662289094275,0.3430657395889753,0.023225540508536983,10,3,3,69.27857397,-53.47481003,0.5360802886,20.09.2023,-0.6074843750000001,-0.33674895833333335,-0.5983072916666666,-7.0916041666666665
4,94231031,0.3634886190345278,0.27244828903140594,0.29360044831666643,0.21002130163841568,5.248437661642687,15,3,4,69.27865402,-53.47411098,0.2301892144,20.09.2023,-4.4891427083333335,-5.449379166666667,-5.901692708333333,-7.0916041666666665
5,94231032,0.5727665049212519,0.2889581388233745,0.30733194777488543,0.2829041043209762,1.5820614227471426,16,1,1,69.26771999,-53.46691897,0.5992449216,23.09.2023,-2.145342708333333,-1.2692,-1.158203125,-7.0916041666666665
6,94231035,0.6805185665211174,0.2948008202930023,0.3325444077156783,0.2790527784182813,1.8660448977849722,19,1,2,69.26802803,-53.46609302,0.5482034304,21.09.2023,-4.502163541666666,-3.857926041666667,-3.75,-7.0916041666666665
7,94231036,0.4758305578720756,0.2890482239689178,0.312815726806936,0.27792923703248174,2.119179180151204,20,1,2,69.26781102,-53.46617701,0.42247433739999996,24.09.2023,-4.813311458333334,-4.456467708333334,-4.408854166666667,-7.0916041666666665
8,94231039,0.5942114076037736,0.2864343859236907,0.32935037272839707,0.27091046680011627,2.4631527472829577,23,1,3,69.26814797,-53.46499499,0.2109192144,06.10.2023,-3.64319375,-2.506475,-2.0,-7.0916041666666665
9,94231041,0.560882207898656,0.2991751518181585,0.3049727991938868,0.2982466909339942,0.09622030822718318,25,1,4,69.26874803,-53.46248402,0.2566492494,05.10.2023,-4.65741875,-3.830889583333333,-3.75,-7.0916041666666665
10,94231042,0.49807986753589156,0.3048657916776478,0.3149550813521627,0.3013882679313136,-0.17588207610738346,26,1,4,69.26869498,-53.46235402,0.4310977984,23.09.2023,-4.149273958333333,-3.4917583333333333,-3.3001302083333335,-7.0916041666666665
11,94231043,0.5219118224599709,0.29199674155342353,0.2954160071096971,0.2895796516407999,0.7284713482001143,27,1,4,69.26884602,-53.46255099,0.296548855,25.09.2023,-5.1577625,-4.741758333333333,-4.625,-7.0916041666666665
12,95254473,0.20459296663221904,0.33171428040932127,0.3407504492255487,0.3241491820099531,10.864179382733793,115x,2,1,69.269978,-53.469958,0.4858320064,20.09.2023,-5.204296875,-5.836588541666667,-5.938802083333333,-7.0916041666666665
13,95256711,0.31625411478639587,0.2797020807250976,0.29170174923249537,0.2640703582663191,2.272811188986677,126x,2,2,69.271588,-53.468423,0.18681279039999998,21.09.2023,-3.3548177083333335,-3.2938802086666663,-3.29296875,-7.0916041666666665
14,95256716,0.5543012147625443,0.2879392714311205,0.31869169724133095,0.27709205938646814,1.0903266230288948,131x,2,4,69.271081,-53.468645,0.2751547056,20.09.2023,-4.061848958333333,-3.966796875,-4.0546875,-7.0916041666666665
